titulo,nivel_de_investigador,anio,miembros,total_anual,proporcion
DR.,1,2015,7685,12171,0.631418946676526
DR.,1,2016,8214,13108,0.626640219713152
DR.,1,2017,8775,14044,0.624821988037596
DR.,1,2018,9050,14552,0.621907641561297
DR.,1,2019,9621,15427,0.623646852920205
DR.,1,2020,10259,16497,0.621870643147239
DR.,2,2015,2687,3834,0.700834637454356
DR.,2,2016,2810,4073,0.689909157868893
DR.,2,2017,2924,4302,0.679683867968387
DR.,2,2018,2974,4412,0.674070716228468
DR.,2,2019,2936,4422,0.663952962460425
DR.,2,2020,3058,4600,0.664782608695652
DR.,3,2015,1509,1912,0.789225941422594
DR.,3,2016,1573,2010,0.782587064676617
DR.,3,2017,1685,2158,0.780815569972196
DR.,3,2018,1757,2269,0.774349933891582
DR.,3,2019,1848,2395,0.77160751565762
DR.,3,2020,1903,2493,0.763337344564781
DR.,4,2016,1,1,1
DR.,Candidato,2015,2614,4451,0.587283756459223
DR.,Candidato,2016,2829,4927,0.574183072863812
DR.,Candidato,2017,3248,5694,0.570425008781173
DR.,Candidato,2018,3609,6431,0.561187995646089
DR.,Candidato,2019,4114,7387,0.556924326519561
DR.,Candidato,2020,4750,8601,0.552261364957563
DRA.,1,2015,4486,12171,0.368581053323474
DRA.,1,2016,4894,13108,0.373359780286848
DRA.,1,2017,5269,14044,0.375178011962404
DRA.,1,2018,5502,14552,0.378092358438703
DRA.,1,2019,5806,15427,0.376353147079795
DRA.,1,2020,6238,16497,0.378129356852761
DRA.,2,2015,1147,3834,0.299165362545644
DRA.,2,2016,1263,4073,0.310090842131107
DRA.,2,2017,1378,4302,0.320316132031613
DRA.,2,2018,1438,4412,0.325929283771532
DRA.,2,2019,1486,4422,0.336047037539575
DRA.,2,2020,1542,4600,0.335217391304348
DRA.,3,2015,403,1912,0.210774058577406
DRA.,3,2016,437,2010,0.217412935323383
DRA.,3,2017,473,2158,0.219184430027804
DRA.,3,2018,512,2269,0.225650066108418
DRA.,3,2019,547,2395,0.22839248434238
DRA.,3,2020,590,2493,0.236662655435219
DRA.,Candidato,2015,1837,4451,0.412716243540777
DRA.,Candidato,2016,2098,4927,0.425816927136188
DRA.,Candidato,2017,2446,5694,0.429574991218827
DRA.,Candidato,2018,2822,6431,0.438812004353911
DRA.,Candidato,2019,3273,7387,0.443075673480439
DRA.,Candidato,2020,3851,8601,0.447738635042437
